,id,title,keys,normalised_text,imdb_id
105,429617,Spider-Man: Far From Home,action  adventur  science fict venic  itali  superhero  school trip  europ  based on com  sequel  destruct  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu)  tower of london,spiderman far from home,tt6320628
106,37724,Skyfall,action  adventur  thriller spi  secret ag  sociopath  mi6  killer  art galleri  british secret servic  uzi  booby trap  impersonating a police offic  macao  komodo dragon,skyfall,tt1074638
107,127585,X-Men: Days of Future Past,action  adventur  science fict 1970  mutant  time travel  based on com  superhuman  storm  political intrigue   extinct  beast  claw  aftercreditssting  changing the past or futur,xmen days of future past,tt1877832
108,333339,Ready Player One,adventur  action  science fict futur  based on novel or book  video gam  virtual r  dystopia  nostalgia  love  film in film  evil corpor  quest  1980  2040  based on young adult novel  columbu  ohio,ready player one,tt1677720
109,72190,World War Z,action  drama  horror  science fict  thriller philadelphia  pennsylvania  new jersey  based on novel or book  dystopia  jerusalem  israel  apocalyps  zombi  epidem  nuclear weapon  multiple perspect  zombie apocalyps  viru,world war z,tt0816711
110,330459,Rogue One: A Star Wars Story,action  adventur  science fict rebellion  spacecraft  rebel  space battl  space travel  prequel  female protagonist  space western  suicide miss  robot  spin off  space opera  alien languag  against the odd  blind man,rogue one a star wars story,tt3748528
111,49521,Man of Steel,action  adventur  science fict saving the world  fli  hope  superhero  based on com  alien planet  superhuman  alien invas  super pow  mysterious forc  reboot  save the day  dc extended universe (dceu)  save the planet  origin stori  alien spaceship,man of steel,tt0770828
112,20352,Despicable Me,famili  anim  comedi parent child relationship  orphanag  adoptive fath  life's dream  rivalri  ballet  steal  little girl  orphan  tomboy  intellig  evil doctor  duringcreditssting  supervillain  despic  illumin  minion,despicable me,tt1323594
113,558,Spider-Man 2,action  adventur  fantasi new york c  dual ident  love of one's lif  secret ident  superhero  pizza boy  based on com  sequel  doctor  scientist  tentacl  death  super villain  young adult,spiderman 2,tt0316654
114,118,Charlie and the Chocolate Factory,adventur  comedi  famili  fantasi factory work  london  england  based on novel or book  chocol  candi  overweight child  parent child relationship  grandparent grandchild relationship  teacher  candy bar,charlie and the chocolate factory,tt0367594
115,244786,Whiplash,drama  music new york c  concert  jazz  obsess  music teach  conservatori  montag  public humili  jazz band  young adult  music school  based on short film,whiplash,tt2582802
